"source","target","value"
"Agriculture and rural land management","Land use - arable",2
"Agriculture and rural land management","Poor nutrient management",2
"Sector under investigation","Unknown (pending investigation)",1
"Urban and transport","Sewage discharge (continuous)",1
"Water Industry","Sewage discharge (continuous)",1
"Water Industry","Sewage discharge (intermittent)",2
