"","X","text","n"
"1",1,"the maidenhead ditch",5
"2",2,"your land line",5
"3",3,"a great community",3
"4",4,"fa trophy naive poole town",3
"5",5,"high speed wifi free flow coffee",3
"6",6,"the christmas shopping",3
"7",7,"> saturday football",2
"8",8,"a berkshire waterway",2
"9",9,"a last ditch challenge",2
"10",10,"fish raw sewage",2
"11",11,"m4 crash forces car",2
"12",12,"more than 10000 fish",2
"13",13,"the everyday commute",2
"14",14,"the fire service",2
"15",15,"the m4  maidenhead advertiser",2
"16",16,"the maidenhead ditchyork stream",2
"17",17,"the maidenhead treatment works",2
"18",18,"11 | stripes 00 spireites",1
"19",19,"15 last ditch tackle",1
"20",20,"19 million pensioners",1
"21",21,"3 nelson 2 hornblower",1
"22",22,"3112 1330  10 waxwing",1
"23",23,"64 rene steer slides",1
"24",24,"76 | bromley",1
"25",25,"8 digits",1
