"source","target","value"
"Agriculture and rural land management","Poor Livestock Management",2
"Agriculture and rural land management","Poor nutrient management",2
"Agriculture and rural land management","Poor soil management",1
"Sector under investigation","Unknown (pending investigation)",1
"Water Industry","Sewage discharge (continuous)",2
