"","sentiment","n","percent"
"1","anger",1242,7.63
"2","anticipation",2851,17.51
"3","disgust",1347,8.27
"4","fear",2319,14.24
"5","joy",2891,17.75
"6","sadness",1513,9.29
"7","surprise",1464,8.99
"8","trust",2656,16.31
