"","sentiment","n","percent"
"1","anger",412,4.84
"2","anticipation",1679,19.71
"3","disgust",285,3.35
"4","fear",1355,15.91
"5","joy",1570,18.43
"6","sadness",627,7.36
"7","surprise",840,9.86
"8","trust",1751,20.55
