"","sentiment","n","percent"
"1","anger",13098,5.47
"2","anticipation",48262,20.15
"3","disgust",8403,3.51
"4","fear",24544,10.25
"5","joy",51146,21.35
"6","sadness",17810,7.43
"7","surprise",25154,10.5
"8","trust",51129,21.34
