"source","target","value"
"No sector responsible","North american signal crayfish",1
"Other","Barriers - ecological discontinuity",2
"Sector under investigation","Unknown (pending investigation)",1
"Urban and transport","Urbanisation - transport",1
"Urban and transport","Urbanisation - urban development",1
"Water Industry","Sewage discharge (continuous)",2
"Water Industry","Sewage discharge (intermittent)",1
