"","sentiment","n","percent"
"1","anger",55,5.14
"2","anticipation",91,8.5
"3","disgust",28,2.62
"4","fear",577,53.93
"5","joy",86,8.04
"6","sadness",61,5.7
"7","surprise",52,4.86
"8","trust",120,11.21
