"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039017230","No sector responsible","Not applicable","Not applicable","Drought","Suspected"
"2","GB106039017230","Agriculture and rural land management","Suspected","","Land drainage - operational management","Suspected"
