"","mean_senti","Date"
"1",0,2011-07-01
"2",1.2,2012-02-01
"3",-0.4,2012-06-01
"4",-0.25,2012-11-01
"5",-0.03,2012-12-01
"6",0.1,2013-08-01
"7",0,2013-09-01
"8",0.35,2013-10-01
"9",-0.383333333333333,2013-12-01
"10",-0.0625,2014-01-01
"11",0.233333333333333,2014-02-01
"12",-0.675,2014-04-01
"13",0.375,2014-07-01
"14",-0.4,2014-09-01
"15",-0.641666666666667,2014-11-01
"16",-0.37375,2015-01-01
"17",0.4,2015-05-01
"18",0.5,2015-06-01
"19",0.0833333333333333,2015-07-01
"20",-0.5,2015-08-01
"21",0.3,2015-10-01
"22",0,2015-12-01
"23",-0.261386054421769,2016-01-01
"24",-0.275,2016-02-01
"25",-0.266666666666667,2016-03-01
"26",0.8,2016-04-01
"27",0,2016-05-01
"28",-0.0714285714285714,2016-06-01
"29",-0.75,2016-07-01
"30",0,2016-08-01
"31",-0.3325,2016-09-01
"32",-0.227777777777778,2016-11-01
"33",-0.208333333333333,2017-01-01
"34",0.25,2017-02-01
"35",0.2,2017-05-01
"36",-0.0416666666666667,2017-06-01
"37",-0.0875,2017-07-01
"38",0.55,2017-08-01
"39",0,2017-09-01
"40",1.425,2017-10-01
"41",-0.129333333333333,2017-12-01
"42",1.25,2018-03-01
"43",-0.1875,2018-04-01
"44",-0.1,2018-05-01
"45",-0.125,2018-06-01
"46",1.075,2018-07-01
"47",1.89444444444444,2018-08-01
"48",2,2018-10-01
"49",-0.166666666666667,2018-12-01
"50",-0.166666666666667,2019-02-01
"51",-0.125,2019-03-01
"52",-0.125,2019-06-01
"53",0.5,2019-08-01
"54",-0.0625,2019-10-01
"55",-0.379166666666667,2019-11-01
"56",-0.25530303030303,2019-12-01
"57",-0.025,2020-01-01
"58",-0.154960317460317,2020-02-01
"59",-0.125,2020-03-01
"60",0,2020-05-01
"61",-0.6,2020-08-01
"62",0.5,2020-09-01
"63",-0.1875,2020-11-01
"64",-0.22,2020-12-01
"65",-0.15625,2021-01-01
"66",-0.125,2021-02-01
"67",0,2021-07-01
