"","mean_senti","Date"
"1",0,2009-02-01
"2",1.7,2009-03-01
"3",0.5,2009-05-01
"4",0,2010-03-01
"5",0,2010-04-01
"6",0,2011-04-01
"7",0,2011-05-01
"8",-0.5,2011-10-01
"9",0.675,2011-12-01
"10",-0.5,2012-05-01
"11",0,2012-09-01
"12",0,2012-10-01
"13",1.75,2012-11-01
"14",0.6,2013-01-01
"15",0,2013-03-01
"16",0.5,2013-04-01
"17",0.375,2013-05-01
"18",-0.491666666666667,2013-06-01
"19",0.183333333333333,2013-07-01
"20",1.25,2013-12-01
"21",0.4,2014-02-01
"22",0.132619047619048,2014-10-01
"23",0.2,2015-02-01
"24",0,2015-04-01
"25",0,2015-08-01
"26",1.0375,2015-11-01
"27",0.8,2016-05-01
"28",1.2,2016-11-01
"29",0.85,2017-03-01
"30",1.5,2017-06-01
"31",0.225,2017-08-01
"32",0,2017-09-01
"33",-0.25,2017-10-01
"34",0.25,2017-12-01
"35",4.75,2018-03-01
"36",0,2018-05-01
"37",0.375,2018-06-01
"38",0.9,2018-07-01
"39",0,2018-09-01
"40",1.55,2018-10-01
"41",0,2019-05-01
"42",0.266666666666667,2019-07-01
"43",0.766666666666667,2019-10-01
"44",0,2020-02-01
"45",0.8,2020-03-01
"46",-1.1,2020-04-01
"47",0.75,2020-08-01
"48",0,2020-09-01
"49",0,2021-01-01
"50",0.1,2021-04-01
"51",1.075,2021-06-01
"52",-0.5,2021-07-01
"53",0.45,2021-08-01
