"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB30642417","Water Industry","Confirmed","Not applicable","Sewage discharge (continuous)","Confirmed"
"2","GB30642417","Agriculture and rural land management","Probable","Agriculture - Livestock","Poor Livestock Management","Probable"
"3","GB30642417","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"4","GB30642417","Water Industry","Probable","Not applicable","Sewage discharge (intermittent)","Probable"
"5","GB30642417","Water Industry","Confirmed","Not applicable","Other (not in list, must add details in comments)","Confirmed"
