"source","target","value"
"Industry","Sewage discharge (continuous)",1
"Industry","Sewage discharge (intermittent)",1
"No sector responsible","North american signal crayfish",1
"Sector under investigation","Unknown (pending investigation)",2
"Water Industry","Sewage discharge (continuous)",1
