"","X","text","n"
"1",1,"the gores brook",5
"2",2,"$325m",1
"3",3,"1340 bramble brook",1
"4",4,"140 bramble brook  210 fourth act",1
"5",5,"140 bramble brook 210theos",1
"6",6,"140 elkstone 210 spending time",1
"7",7,"1st bramble brook 95 2nd rothman 811f 3rd gores",1
"8",8,"240  dolores",1
"9",9,"240 brook 310 gores island",1
"10",10,"25 hot take",1
"11",11,"310  cloudy bob",1
"12",12,"340 gores island",1
"13",13,"35 mil andre",1
"14",14,"92 nb 240  knocklayde",1
"15",15,"a blocked public footpath jack something",1
"16",16,"a match rainham tesco v",1
"17",17,"a number threefour option",1
"18",18,"a oversized jumper",1
"19",19,"a playoff team",1
"20",20,"a smart move",1
"21",21,"a thereandback route",1
"22",22,"a top exandle",1
"23",23,"a13 accident london bound gores brook interchange",1
"24",24,"al gores internet",1
"25",25,"best brook lopez",1
