"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106040018040","Water Industry","Confirmed","Waste water treatment","Sewage discharge (continuous)","Confirmed"
"2","GB106040018040","Agriculture and rural land management","Probable","Agriculture - Livestock","Poor Livestock Management","Probable"
"3","GB106040018040","Local and Central Government","Confirmed","Not applicable","Other (not in list, must add details in comments)","Confirmed"
"4","GB106040018040","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"5","GB106040018040","Agriculture and rural land management","Probable","Agriculture - Arable","Poor soil management","Probable"
"6","GB106040018040","Sector under investigation","Not applicable","Not applicable","Unknown (pending investigation)","Not applicable"
