"","sentiment","n","percent"
"1","anger",66,6.84
"2","anticipation",124,12.85
"3","disgust",52,5.39
"4","fear",479,49.64
"5","joy",58,6.01
"6","sadness",44,4.56
"7","surprise",37,3.83
"8","trust",105,10.88
