"","sentiment","n","percent"
"1","anger",106,6.29
"2","anticipation",348,20.67
"3","disgust",47,2.79
"4","fear",207,12.29
"5","joy",281,16.69
"6","sadness",103,6.12
"7","surprise",155,9.2
"8","trust",437,25.95
