"","sentiment","n","percent"
"1","anger",53,3.4
"2","anticipation",288,18.46
"3","disgust",61,3.91
"4","fear",296,18.97
"5","joy",273,17.5
"6","sadness",100,6.41
"7","surprise",161,10.32
"8","trust",328,21.03
