"","X","text","n"
"1",1,"barclays center protesters",85
"2",2,"the barclays center",85
"3",3,"the royal newfoundland constabulary",68
"4",4,"the royal newfoundland",54
"5",5,"the royal wolf",52
"6",6,"a royal snub",48
"7",7,"royal brook ct",39
"8",8,"the royal canadian legion",38
"9",9,"upper brook st manchester",37
"10",10,"medical marijuana proposal",35
"11",11,"manchester royal infirmary oxford",34
"12",12,"the royal family",33
"13",13,"the brook grace",29
"14",14,"daniel lopezs brook trout",28
"15",15,"the royal box",27
"16",16,"corner brook man",25
"17",17,"brook trout",24
"18",18,"manchester royal infirmary oxford road upper brook street manchester",22
"19",19,"canada corner brook nl",21
"20",20,"mitchell brook primary school",21
"21",21,"the royal newfoundland constabulary rnc",20
"22",22,"her favorite looks",19
"23",23,"the royal oak",19
"24",24,"corner brook rnc",18
"25",25,"the royal shakespeare company",18
