"","sentiment","n","percent"
"1","anger",122,5.11
"2","anticipation",531,22.24
"3","disgust",56,2.35
"4","fear",266,11.14
"5","joy",467,19.56
"6","sadness",181,7.58
"7","surprise",236,9.88
"8","trust",529,22.15
