"","sentiment","n","percent"
"1","anger",4,5.26
"2","anticipation",10,13.16
"3","disgust",3,3.95
"4","fear",2,2.63
"5","joy",23,30.26
"6","sadness",7,9.21
"7","surprise",8,10.53
"8","trust",19,25
