"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039030280","Water Industry","Probable","Waste water treatment","Sewage discharge (continuous)","Probable"
"2","GB106039030280","Other","Probable","Not applicable","Barriers - ecological discontinuity","Probable"
