"","sentiment","n","percent"
"1","anger",143,9.01
"2","anticipation",278,17.52
"3","disgust",107,6.74
"4","fear",187,11.78
"5","joy",230,14.49
"6","sadness",135,8.51
"7","surprise",118,7.44
"8","trust",389,24.51
