"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039023040","Domestic General Public","Probable","Not applicable","Misconnections","Probable"
"2","GB106039023040","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"3","GB106039023040","Industry","Suspected","Other industry, manufacturing and Business","Trade/Industry discharge","Suspected"
"4","GB106039023040","Urban and transport","Probable","Not applicable","Urbanisation - urban development","Probable"
"5","GB106039023040","Domestic General Public","Probable","Not applicable","Misconnections","Probable"
"6","GB106039023040","Other","Suspected","Not applicable","Reservoir / Impoundment - non flow related","Suspected"
"7","GB106039023040","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"8","GB106039023040","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"9","GB106039023040","Urban and transport","Probable","Not applicable","Urbanisation - urban development","Probable"
"10","GB106039023040","Domestic General Public","Probable","Not applicable","Misconnections","Probable"
"11","GB106039023040","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
