"","X","text","n"
"1",1,"brook cottage books",135
"2",2,"the clarksdale plan",22
"3",3,"new dr horton",17
"4",4,"brook cottage books author",15
"5",5,"corner brook tim hortons",12
"6",6,"the horton brook",12
"7",7,"<u+0001f3e1> open house",8
"8",8,"contemporary scottish fiction",8
"9",9,"janice horton  cover",8
"10",10,"u+0001f3e1> open house",8
"11",11,"42 p horton",6
"12",12,"one day cup",6
"13",13,"a bonus area",4
"14",14,"a welcoming entrance 4 bedrooms",4
"15",15,"brook cottage books voodoo wedding",4
"16",16,"donor disclosure policies",4
"17",17,"a 2story 2379 sqft",3
"18",18,"a key section",3
"19",19,"brook cottage books janice horton talks voodoo",3
"20",20,"crown meadow conservation volunteers",3
"21",21,"hidden brook winery",3
"22",22,"horton shelby office",3
"23",23,"the last three months",3
"24",24,"the stars daniel",3
"25",25,"the team volunteers",3
