"","sentiment","n","percent"
"1","anger",1993,6.33
"2","anticipation",6458,20.5
"3","disgust",1772,5.63
"4","fear",2563,8.14
"5","joy",6233,19.79
"6","sadness",2882,9.15
"7","surprise",3451,10.96
"8","trust",6144,19.51
