"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039030450","Water Industry","Probable","Waste water treatment","Sewage discharge (continuous)","Probable"
"2","GB106039030450","Water Industry","Suspected","Waste water treatment","Sewage discharge (continuous)","Suspected"
