"","X","text","n"
"1",1,"brook taverner sherbourne trousers",108
"2",2,"brook taverner sherbourne trousers brook tavernersherbourne trousers",93
"3",3,"leadenhall uk httpbitlybrooktavernersherbournetrouser",86
"4",4,"flood alert river sowe river sherbourne canley brook",36
"5",5,"normal river sowe river sherbourne canley brook",21
"6",6,"brook taverner voucher code deal",11
"7",7,"flood alert river sowe river sherbourne canley brook and finham brook",8
"8",8,"1705 8 march",5
"9",9,"flood alert river sowe river sherbourne canley brook and finham brook 1732 7 june",3
"10",10,"1830 yorkville innkeeper and land speculator joseph bloor",2
"11",11,"brook taverner flat front belt",2
"12",12,"castle frank brook",2
"13",13,"river sowe river sherbourne canley brook",2
"14",14,"the bloor brewery 1865 richard baigent artist",2
"15",15,"the sherbourne brook",2
"16",16,"where sherbourne st",2
"17",17,"10032016 river sowe river sherbourne canley brook",1
"18",18,"1044 13 march",1
"19",19,"1144 4 october",1
"20",20,"1557 18 december",1
"21",21,"1637 2 april",1
"22",22,"926am 08062016 river sowe river sherbourne canley brook",1
"23",23,"a fair bit",1
"24",24,"a long walk",1
"25",25,"a splendid day",1
