"","sentiment","n","percent"
"1","anger",64,6.39
"2","anticipation",105,10.49
"3","disgust",18,1.8
"4","fear",568,56.74
"5","joy",58,5.79
"6","sadness",26,2.6
"7","surprise",47,4.7
"8","trust",115,11.49
