"","X","text","n"
"1",1,"bear brook state park",632
"2",2,"brook state park",196
"3",3,"the bear brook murders",195
"4",4,"the bear brook podcast",179
"5",5,"bear brook valley",157
"6",6,"katmai national park",97
"7",7,"dark poutine bear brook",87
"8",8,"the candfire wild ideas",86
"9",9,"the fattest bear",81
"10",10,"fat bear week",79
"11",11,"an annual competition",78
"12",12,"the states brook river",78
"13",13,"the bear brook",70
"14",14,"a grisly and complicated cold case",61
"15",15,"four murder victims",61
"16",16,"barrington barrington passagedoctors coveatwoods",60
"17",17,"orchard brook drive",60
"18",18,"my favorite murder",56
"19",19,"my podcast mighty fine adventures",54
"20",20,"outage barrington barrington passagedoctors coveatwoods",54
"21",21,"new handshire state park",53
"22",22,"woman 2 children",51
"23",23,"bear brook",49
"24",24,"the bear brook case",49
"25",25,"a black bear",46
