"source","target","value"
"Industry","Trade/Industry discharge",3
"Local and Central Government","Other (not in list, must add details in comments)",1
"Navigation","Groundwater abstraction",1
"No sector responsible","North american signal crayfish",1
"Sector under investigation","Unknown (pending investigation)",1
"Urban and transport","Other (not in list, must add details in comments)",1
"Urban and transport","Urbanisation - urban development",1
