"source","target","value"
"Agriculture and rural land management","Land use - arable",1
"Industry","Trade/Industry discharge",2
"No sector responsible","North american signal crayfish",1
"Sector under investigation","Unknown (pending investigation)",1
"Urban and transport","Urbanisation - urban development",1
"Water Industry","Sewage discharge (continuous)",4
"Water Industry","Sewage discharge (intermittent)",1
