"","mean_senti","Date"
"1",-0.5,2007-07-01
"2",1.05,2008-11-01
"3",0.5,2010-03-01
"4",0.85,2010-07-01
"5",0.54,2010-08-01
"6",0.4,2010-09-01
"7",0.25,2010-11-01
"8",-0.6,2011-01-01
"9",0.5,2011-05-01
"10",0.25,2011-06-01
"11",0.65,2011-07-01
"12",0.483333333333333,2011-08-01
"13",0.4125,2011-09-01
"14",0.4,2011-10-01
"15",0.966666666666667,2011-11-01
"16",0.65,2012-01-01
"17",0.225,2012-02-01
"18",-0.733333333333333,2012-03-01
"19",0.204,2012-04-01
"20",0.240714285714286,2012-05-01
"21",-0.15,2012-06-01
"22",0.24797619047619,2012-07-01
"23",0.666666666666667,2012-08-01
"24",0,2012-09-01
"25",0.75,2012-10-01
"26",-0.625,2012-11-01
"27",-0.36875,2012-12-01
"28",-0.225,2013-01-01
"29",-0.333333333333333,2013-02-01
"30",-0.3125,2013-03-01
"31",-0.2,2013-04-01
"32",0.182142857142857,2013-05-01
"33",0,2013-06-01
"34",-0.16,2013-07-01
"35",0.6625,2013-08-01
"36",1.65,2013-09-01
"37",0.693333333333333,2013-10-01
"38",-0.25,2013-11-01
"39",-0.291666666666667,2013-12-01
"40",-0.2925,2014-01-01
"41",-0.106944444444444,2014-02-01
"42",0.2625,2014-03-01
"43",0,2014-04-01
"44",0.133333333333333,2014-05-01
"45",0.466666666666667,2014-07-01
"46",0.205,2014-08-01
"47",0.866666666666667,2014-09-01
"48",0.85,2014-10-01
"49",0.3,2014-11-01
"50",0.983333333333333,2014-12-01
"51",0.15,2015-01-01
"52",0.25,2015-02-01
"53",0,2015-03-01
"54",1.3,2015-04-01
"55",0.15,2015-05-01
"56",0.45,2015-06-01
"57",0,2015-07-01
"58",0.7,2015-08-01
"59",0.534265734265734,2015-09-01
"60",1.325,2015-10-01
"61",0.1375,2015-11-01
"62",1.225,2015-12-01
"63",-0.3625,2016-01-01
"64",0.72,2016-02-01
"65",-0.367424242424242,2016-03-01
"66",0.25,2016-04-01
"67",-0.06,2016-05-01
"68",0,2016-06-01
"69",-0.325,2016-07-01
"70",0.0857142857142857,2016-08-01
"71",0.116666666666667,2016-09-01
"72",0.1375,2016-10-01
"73",1.25,2016-11-01
"74",0.525,2016-12-01
"75",2.1,2017-01-01
"76",0,2017-03-01
"77",0.15625,2017-04-01
"78",0.15,2017-05-01
"79",0.333333333333333,2017-06-01
"80",0.175,2017-07-01
"81",0.866666666666667,2017-08-01
"82",-1,2017-09-01
"83",0.3375,2017-10-01
"84",2.75,2017-11-01
"85",-0.5,2017-12-01
"86",0.8,2018-02-01
"87",0.95,2018-03-01
"88",0.0833333333333333,2018-04-01
"89",-0.15,2018-05-01
"90",-0.0875,2018-07-01
"91",-0.275,2018-08-01
"92",-0.333333333333333,2018-09-01
"93",1.5,2018-10-01
"94",0.5,2018-11-01
"95",1.675,2018-12-01
"96",0.366666666666667,2019-01-01
"97",1.075,2019-02-01
"98",0.2,2019-03-01
"99",-0.425,2019-04-01
"100",0.4,2019-06-01
"101",2.275,2019-07-01
"102",-0.271428571428571,2019-08-01
"103",-0.375,2019-09-01
"104",0.35,2019-10-01
"105",0.821937321937322,2019-11-01
"106",1.045,2019-12-01
"107",0.90625,2020-01-01
"108",0.0833333333333333,2020-02-01
"109",0.95,2020-03-01
"110",0.9,2020-04-01
"111",-0.45,2020-05-01
"112",0.0833333333333333,2020-06-01
"113",-0.333333333333333,2020-07-01
"114",-0.266666666666667,2020-08-01
"115",0.8,2020-09-01
"116",0.2,2020-10-01
"117",0,2020-11-01
"118",0.170238095238095,2020-12-01
"119",0.7,2021-01-01
"120",0.6125,2021-02-01
"121",0.483333333333333,2021-03-01
"122",0.895,2021-04-01
"123",0.15,2021-05-01
"124",0.43,2021-06-01
"125",0.8625,2021-07-01
"126",0.525,2021-08-01
