"","sentiment","n","percent"
"1","anger",78,5.38
"2","anticipation",246,16.97
"3","disgust",63,4.34
"4","fear",385,26.55
"5","joy",173,11.93
"6","sadness",104,7.17
"7","surprise",155,10.69
"8","trust",246,16.97
