"","X","text","n"
"1",1,"salmon brook park",144
"2",2,"salmon brook ct",87
"3",3,"small brook trout",64
"4",4,"our ichthus reels",56
"5",5,"the brook white nike logos dance",42
"6",6,"the clear water",39
"7",7,"the salmons brook",37
"8",8,"salmon brook veterinary hospital",35
"9",9,"the boland brook story",31
"10",10,"greater hartford 97 salmon brook street simsbury center",30
"11",11,"97 salmon brook street simsbury center",27
"12",12,"salmon brook street",26
"13",13,"the lower farmington river",26
"14",14,"wall repair salmon brook ct",23
"15",15,"wall salmon brook",23
"16",16,"goshen salmon river",22
"17",17,"outage goshen salmon river",20
"18",18,"the brook trout",19
"19",19,"the salmon river",19
"20",20,"a brook trout",17
"21",21,"corner brook stream",17
"22",22,"belstead brook hotel",16
"23",23,"every state fish",16
"24",24,"the upsalquitch river",16
"25",25,"345 salmon brook street",15
