"","X","text","n"
"1",1,"toxic coal ash",2014
"2",2,"coal ash spill",1944
"3",3,"the dan river",1507
"4",4,"north carolina river",1272
"5",5,"ncs dan river",680
"6",6,"coal ash safeguards",631
"7",7,"river coal ash",520
"8",8,"hundreds of thousands",443
"9",9,"a few mins",417
"10",10,"the river listen",417
"11",11,"dan river coal ash spill",388
"12",12,"spill spews tons",384
"13",13,"floodwaters breach defenses",375
"14",14,"the coal ash",361
"15",15,"up to 82000 tons",342
"16",16,"duke energy plant",328
"17",17,"the river ash",290
"18",18,"flooded coal ash dump",283
"19",19,"nc river swirls",240
"20",20,"a broken pipe",226
"21",21,"north carolina plant",203
"22",22,"coal ash deal",192
"23",23,"70 miles turtles",190
"24",24,"coal ash pollution",188
"25",25,"second coal ash dump leak",185
