"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039037390","No sector responsible","Not applicable","Not applicable","Drought","Suspected"
"2","GB106039037390","Water Industry","Suspected","Waste water treatment","Sewage discharge (continuous)","Suspected"
"3","GB106039037390","Agriculture and rural land management","Suspected","","Land drainage - operational management","Suspected"
"4","GB106039037390","Agriculture and rural land management","Suspected","Agriculture - Livestock","Poor Livestock Management","Suspected"
"5","GB106039037390","Water Industry","Probable","Waste water treatment","Sewage discharge (continuous)","Probable"
