"","sentiment","n","percent"
"1","anger",1,2.27
"2","anticipation",10,22.73
"3","disgust",2,4.55
"4","fear",10,22.73
"5","joy",6,13.64
"6","sadness",2,4.55
"7","surprise",3,6.82
"8","trust",10,22.73
