"","X","text","n"
"1",1,"dundery brook boardwalk construction",3
"2",2,"the  laurel brook club corp laurel brook",3
"3",3,"21 patchet brook rd",2
"4",4,"dundery brook trail",2
"5",5,"more business news gazette newspapers",2
"6",6,"the dundery brook trail",2
"7",7,"tv hotel maya",2
"8",8,"1353wf little compton",1
"9",9,"1815 quaker meetinghouse",1
"10",10,"21 patchet brook rd chimney fire",1
"11",11,"45 pachet brook road",1
"12",12,"a bande suspect tiverton pd",1
"13",13,"a chimnney |tiverton tanker",1
"14",14,"a guided tour",1
"15",15,"a new boardwalk",1
"16",16,"a structure tiverton",1
"17",17,"an american flag",1
"18",18,"brook compton freshwater",1
"19",19,"complete opening ceremony",1
"20",20,"extension21 patchet brook rd",1
"21",21,"friday dundery brook trail groundbreaking",1
"22",22,"home break and dundery brook sign",1
"23",23,"laurel brook club corp laurel brook",1
"24",24,"little compton police bench warrant",1
"25",25,"little compton property",1
