"","X","text","n"
"1",1,"the river brent",1500
"2",2,"the brent spence bridge",301
"3",3,"the ohio river",290
"4",4,"brent river park",146
"5",5,"brent river origin",128
"6",6,"brent spence bridge",123
"7",7,"the lower mississippi river museum",109
"8",8,"river spirit casino",107
"9",9,"brent giddens band",106
"10",10,"the brent spence",94
"11",11,"the brent river",79
"12",12,"a  video",68
"13",13,"the ohio rivers",59
"14",14,"the american jobs",58
"15",15,"hood river county",39
"16",16,"hood river middle school",39
"17",17,"teenager alice gross find body",39
"18",18,"this article rabble",38
"19",19,"max river city",35
"20",20,"the last command",35
"21",21,"a murder investigation",33
"22",22,"missing alice grosss rucksack",33
"23",23,"the brent river park",32
"24",24,"the grand union canal",32
"25",25,"the jesse brent",32
