"","sentiment","n","percent"
"1","anger",7860,12.32
"2","anticipation",13202,20.69
"3","disgust",4428,6.94
"4","fear",9256,14.5
"5","joy",8064,12.64
"6","sadness",6808,10.67
"7","surprise",5127,8.03
"8","trust",9075,14.22
