"","mean_senti","Date"
"1",1.3,2009-02-01
"2",0.5,2009-05-01
"3",2.35,2009-06-01
"4",2.6,2009-07-01
"5",0.5,2009-09-01
"6",0.5,2009-12-01
"7",0.75,2010-04-01
"8",-0.1,2010-05-01
"9",-0.208333333333333,2010-07-01
"10",0.504166666666667,2010-08-01
"11",-0.125,2010-12-01
"12",0.825,2011-01-01
"13",0.55,2011-04-01
"14",0.825,2011-05-01
"15",0.5,2011-06-01
"16",2.42916666666667,2011-07-01
"17",0.9,2011-08-01
"18",0.883333333333333,2011-09-01
"19",1.225,2011-10-01
"20",1.26875,2011-11-01
"21",0.75,2012-01-01
"22",1.2,2012-02-01
"23",0.75,2012-03-01
"24",0.75,2012-04-01
"25",0.5,2012-05-01
"26",0.616666666666667,2012-06-01
"27",1.20833333333333,2012-07-01
"28",0.635,2012-08-01
"29",0.66,2012-09-01
"30",0.166666666666667,2012-10-01
"31",1.375,2012-11-01
"32",0.9625,2012-12-01
"33",1.06875,2013-01-01
"34",0.5,2013-02-01
"35",0.493055555555556,2013-03-01
"36",0.557142857142857,2013-04-01
"37",0.750595238095238,2013-05-01
"38",0.86,2013-06-01
"39",0.885,2013-07-01
"40",0.65,2013-08-01
"41",0.166666666666667,2013-09-01
"42",0.625,2013-10-01
"43",0.7,2013-11-01
"44",0.966666666666667,2013-12-01
"45",0.695833333333333,2014-01-01
"46",0.505,2014-02-01
"47",1.205,2014-03-01
"48",0.979166666666667,2014-04-01
"49",0.9125,2014-05-01
"50",1.09166666666667,2014-06-01
"51",0.588888888888889,2014-07-01
"52",0.5,2014-08-01
"53",0.746875,2014-09-01
"54",0.595454545454545,2014-10-01
"55",0.75,2014-11-01
"56",0.5,2014-12-01
"57",0.9375,2015-01-01
"58",0.53125,2015-02-01
"59",0.391666666666667,2015-03-01
"60",0.977777777777778,2015-04-01
"61",0.81,2015-05-01
"62",0.688888888888889,2015-06-01
"63",0.6625,2015-07-01
"64",0.695,2015-08-01
"65",0.675520833333333,2015-09-01
"66",0.682638888888889,2015-10-01
"67",0.557142857142857,2015-11-01
"68",0.596875,2015-12-01
"69",0.522222222222222,2016-01-01
"70",0.675,2016-02-01
"71",0.575,2016-03-01
"72",0.882692307692308,2016-04-01
"73",0.431818181818182,2016-05-01
"74",0.775,2016-06-01
"75",0.499248120300752,2016-07-01
"76",0.759523809523809,2016-08-01
"77",0.823484848484848,2016-09-01
"78",0.488636363636364,2016-10-01
"79",0.400462962962963,2016-11-01
"80",0.549404761904762,2016-12-01
"81",0.766666666666667,2017-01-01
"82",0.692857142857143,2017-02-01
"83",0.208095238095238,2017-03-01
"84",0.548888888888889,2017-04-01
"85",0.45,2017-05-01
"86",0.771111111111111,2017-06-01
"87",0.71525641025641,2017-07-01
"88",0.87,2017-08-01
"89",0.730769230769231,2017-09-01
"90",0.98030303030303,2017-10-01
"91",0.94375,2017-11-01
"92",0.95,2017-12-01
"93",0.966666666666667,2018-01-01
"94",0.56875,2018-02-01
"95",1.07857142857143,2018-03-01
"96",0.77125,2018-04-01
"97",0.556818181818182,2018-05-01
"98",0.767083333333333,2018-06-01
"99",1.04871794871795,2018-07-01
"100",0.943181818181818,2018-08-01
"101",1.38611111111111,2018-09-01
"102",0.561904761904762,2018-10-01
"103",1.33,2018-11-01
"104",0.65625,2018-12-01
"105",0.717131578947368,2019-01-01
"106",1.225,2019-02-01
"107",0.862962962962963,2019-03-01
"108",1.18125,2019-04-01
"109",1.00625,2019-05-01
"110",1.14,2019-06-01
"111",1.05,2019-07-01
"112",0.9,2019-08-01
"113",0.6875,2019-09-01
"114",1.43333333333333,2019-10-01
"115",1.1,2019-11-01
"116",0.716666666666667,2019-12-01
"117",1.2875,2020-01-01
"118",1.11785714285714,2020-02-01
"119",1.1625,2020-03-01
"120",0.525,2020-04-01
"121",0.879166666666667,2020-05-01
"122",0.94884008148714,2020-06-01
"123",1.22038888888889,2020-07-01
"124",0.881730769230769,2020-08-01
"125",0.75,2020-09-01
"126",1,2020-10-01
"127",0.846153846153846,2020-11-01
"128",0.639285714285714,2020-12-01
"129",0.508333333333333,2021-01-01
"130",0.74,2021-02-01
"131",1.225,2021-03-01
"132",1.065625,2021-04-01
"133",1.2775,2021-05-01
"134",0.807575757575758,2021-06-01
"135",0.668518518518519,2021-07-01
"136",1.3,2021-08-01
