"","sentiment","n","percent"
"1","anger",7,4.24
"2","anticipation",32,19.39
"3","disgust",5,3.03
"4","fear",14,8.48
"5","joy",36,21.82
"6","sadness",15,9.09
"7","surprise",12,7.27
"8","trust",44,26.67
