"","mean_senti","Date"
"1",0,2009-11-01
"2",0.25,2010-10-01
"3",0.5,2010-11-01
"4",0,2011-04-01
"5",1.3,2011-06-01
"6",0,2011-12-01
"7",2.1,2012-07-01
"8",0.375,2012-11-01
"9",0.525,2013-08-01
"10",0.7875,2013-09-01
"11",1.35,2014-02-01
"12",0,2014-06-01
"13",0.65,2014-08-01
"14",0,2014-09-01
"15",1.15,2015-01-01
"16",0,2015-02-01
"17",1.85,2015-05-01
"18",0.05,2015-06-01
"19",0.35,2015-07-01
"20",0,2015-10-01
"21",0.2,2016-01-01
"22",0.4,2016-02-01
"23",0.05,2016-04-01
"24",0.8,2016-05-01
"25",0.633333333333333,2016-06-01
"26",-0.125,2016-07-01
"27",0,2016-08-01
"28",-0.4,2016-09-01
"29",0,2016-10-01
"30",0,2016-11-01
"31",0.375,2016-12-01
"32",0,2017-02-01
"33",0,2017-05-01
"34",0.95,2017-06-01
"35",-1.75,2017-07-01
"36",0.55,2017-11-01
"37",0,2017-12-01
"38",1.3,2018-02-01
"39",1.1,2018-04-01
"40",1.6,2018-07-01
"41",0,2019-01-01
"42",3.55,2019-05-01
"43",1,2019-07-01
"44",2.45,2019-09-01
"45",-0.65,2020-02-01
"46",0,2020-05-01
"47",0.85,2020-06-01
"48",-2.25,2020-09-01
"49",2.2,2020-12-01
"50",3.75,2021-06-01
