"","sentiment","n","percent"
"1","anger",38,3.04
"2","anticipation",116,9.28
"3","disgust",24,1.92
"4","fear",400,32
"5","joy",125,10
"6","sadness",353,28.24
"7","surprise",47,3.76
"8","trust",147,11.76
