"","mean_senti","Date"
"1",0.4,2009-01-01
"2",0.75,2009-07-01
"3",0.675,2009-09-01
"4",-0.75,2010-03-01
"5",-0.225,2011-02-01
"6",0.95,2011-03-01
"7",0.9,2011-05-01
"8",0.85,2011-07-01
"9",0.75,2011-08-01
"10",-0.75,2011-09-01
"11",0,2011-10-01
"12",0.3,2011-12-01
"13",-0.5,2012-01-01
"14",0,2012-02-01
"15",0.125,2012-03-01
"16",0.3,2012-05-01
"17",-0.25,2012-06-01
"18",-0.125,2012-07-01
"19",-0.0833333333333333,2012-08-01
"20",0.075,2012-09-01
"21",-0.5875,2012-11-01
"22",-0.25,2012-12-01
"23",0.26,2013-01-01
"24",0,2013-02-01
"25",0.9,2013-03-01
"26",0.59,2013-05-01
"27",0.3,2013-06-01
"28",0.26,2013-07-01
"29",0.75,2013-08-01
"30",0,2013-09-01
"31",-0.11375,2014-01-01
"32",-0.367857142857143,2014-02-01
"33",0,2014-03-01
"34",0,2014-05-01
"35",0,2014-06-01
"36",0.75,2014-07-01
"37",0.241666666666667,2014-08-01
"38",0.9,2014-09-01
"39",-1.55,2014-10-01
"40",1.105,2014-11-01
"41",-0.0833333333333333,2015-01-01
"42",0.425,2015-03-01
"43",0.375,2015-04-01
"44",0.375,2015-05-01
"45",0.366666666666667,2015-06-01
"46",0.75,2015-08-01
"47",0,2015-09-01
"48",0.6875,2015-10-01
"49",-0.163888888888889,2016-01-01
"50",-0.25,2016-02-01
"51",-0.383333333333333,2016-03-01
"52",0.75,2016-04-01
"53",0.766666666666667,2016-05-01
"54",0.75,2016-06-01
"55",-0.6,2016-08-01
"56",0,2016-09-01
"57",0.4,2016-10-01
"58",-1.5,2016-11-01
"59",-0.2,2017-01-01
"60",0,2017-02-01
"61",2.7,2017-03-01
"62",0.8,2017-04-01
"63",0,2017-05-01
"64",0,2017-06-01
"65",0.283333333333333,2017-07-01
"66",0,2017-09-01
"67",0.9,2017-11-01
"68",-0.65,2017-12-01
"69",-0.288461538461538,2018-01-01
"70",-0.166666666666667,2018-02-01
"71",-0.00999999999999999,2018-03-01
"72",-0.221153846153846,2018-04-01
"73",0.120833333333333,2018-05-01
"74",1.45,2018-06-01
"75",-0.0636363636363636,2018-07-01
"76",1.45,2018-08-01
"77",0.6,2018-09-01
"78",0,2018-10-01
"79",0.125,2018-11-01
"80",0.5,2018-12-01
"81",-0.1,2019-02-01
"82",-0.4,2019-03-01
"83",1.3,2019-04-01
"84",1.25,2019-05-01
"85",0.398333333333333,2019-06-01
"86",0.175,2019-07-01
"87",0.65,2019-08-01
"88",0.55,2019-09-01
"89",0.8,2019-10-01
"90",0.42,2019-11-01
"91",-0.296354166666667,2019-12-01
"92",-0.0111111111111111,2020-01-01
"93",-0.268839285714286,2020-02-01
"94",-0.214285714285714,2020-03-01
"95",0,2020-05-01
"96",0.583333333333333,2020-06-01
"97",1.625,2020-07-01
"98",0.01,2020-08-01
"99",0.716666666666667,2020-09-01
"100",0.46,2020-10-01
"101",0.8,2020-11-01
"102",-0.178571428571429,2020-12-01
"103",-0.0568181818181818,2021-01-01
"104",-0.241666666666667,2021-02-01
"105",0.9,2021-03-01
"106",1.78333333333333,2021-04-01
"107",0.885,2021-05-01
"108",0.6375,2021-06-01
"109",1.91,2021-07-01
"110",1.14285714285714,2021-08-01
