"","sentiment","n","percent"
"1","anger",4,5.88
"2","anticipation",8,11.76
"3","disgust",2,2.94
"4","fear",17,25
"5","joy",4,5.88
"6","sadness",13,19.12
"7","surprise",11,16.18
"8","trust",9,13.24
