"","sentiment","n","percent"
"1","anger",27,4.71
"2","anticipation",112,19.55
"3","disgust",42,7.33
"4","fear",29,5.06
"5","joy",76,13.26
"6","sadness",93,16.23
"7","surprise",46,8.03
"8","trust",148,25.83
