"","sentiment","n","percent"
"1","anger",12,8.7
"2","anticipation",32,23.19
"3","disgust",9,6.52
"4","fear",12,8.7
"5","joy",25,18.12
"6","sadness",12,8.7
"7","surprise",11,7.97
"8","trust",25,18.12
