"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106040018182","Recreation","Confirmed","Recreation","Other (not in list, must add details in comments)","Confirmed"
"2","GB106040018182","Agriculture and rural land management","Confirmed","","Other (not in list, must add details in comments)","Confirmed"
"3","GB106040018182","Urban and transport","Confirmed","Not applicable","Other (not in list, must add details in comments)","Confirmed"
"4","GB106040018182","Navigation","Confirmed","Inland Waterways","Other (not in list, must add details in comments)","Confirmed"
"5","GB106040018182","Local and Central Government","Confirmed","Not applicable","Other (not in list, must add details in comments)","Confirmed"
"6","GB106040018182","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"7","GB106040018182","Domestic General Public","Probable","Domestic/General public","Private Sewage Treatment","Probable"
"8","GB106040018182","Water Industry","Confirmed","Waste water treatment","Sewage discharge (continuous)","Confirmed"
"9","GB106040018182","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"10","GB106040018182","Water Industry","Confirmed","Waste water treatment","Sewage discharge (continuous)","Confirmed"
