"","WBID","name","mine_query","mine_noise_risk"
"217","GB40601G602900","Upper Lee Chalk","Upper Lee Chalk","medium/low"
"218","GB40602G401200","North Mymms Tertiaries","North Mymms Tertiaries","medium/low"
"219","GB40602G600600","Shrivenham Corallian","","medium/low"
"220","GB40601G602600","Maidenhead Chalk","Maidenhead Chalk","medium/low"
"221","GB40601G501300","Basingstoke Chalk","Basingstoke Chalk","medium/low"
"222","GB40602G600500","Kemble Forest Marble","Kemble Forest Marble","medium/low"
"223","GB40602G600200","Banbury Jurassic","Banbury Jurassic","medium/low"
"224","GB40602G602300","Bromley Tertiaries","Bromley Tertiaries","medium/low"
"225","GB40602G501900","West Kent Tertiaries","","medium/low"
"226","GB40602G601500","Aldermaston Bagshot Beds","","medium/low"
"227","GB40601G401100","South Essex Thurrock Chalk","","medium/low"
"228","GB40602G600700","Headington Corallian","","medium/low"
"229","GB40601G601200","Mid-Chilterns Chalk","","medium/low"
"230","GB40602G602800","Radlett Tertiaries","Radlett Tertiaries","medium/low"
"231","GB40603G000300","Lower Thames Gravels","Lower Thames Gravels","medium/low"
"232","GB40601G603100","Tackley Jurassic","","medium/low"
"233","GB40601G600900","Berkshire Downs Chalk","Berkshire Downs Chalk","medium/low"
"234","GB40602G601600","Thatcham Tertiaries","","medium/low"
"235","GB40601G500400","Kent Greensand Middle","Kent Greensand Middle","medium/low"
"236","GB40601G500500","Kent Greensand Western","Kent Greensand Western","medium/low"
"237","GB40602G604200","Byfield Jurassic","","medium/low"
"238","GB40601G602000","Reigate Lower Greensand","Reigate Lower Greensand","medium/low"
"239","GB40602G600300","Chipping Norton Jurassic","Chipping Norton Jurassic","medium/low"
"240","GB40601G601000","Vale of White Horse Chalk","Vale of White Horse Chalk","medium/low"
"241","GB40601G601900","Godalming Lower Greensand","Godalming Lower Greensand","medium/low"
"242","GB40601G500300","North Kent Medway Chalk","North Kent Medway Chalk","medium/low"
"243","GB40602G602700","Twyford Tertiaries","Twyford Tertiaries","medium/low"
"244","GB40601G602100","Dorking North Downs Chalk","Dorking North Downs Chalk","medium/low"
"245","GB40601G602200","Epsom North Downs Chalk","Epsom North Downs Chalk","medium/low"
"246","GB40603G000200","Upper Thames Gravels","Upper Thames Gravels","medium/low"
"247","GB106039037290","Farthinghoe Stream (Source to Cherwell) and tributaries","","medium/low"
"248","GB106039037340","Hanwell Brook","Hanwell Brook","medium/low"
"249","GB106039037240","Bloxham Brook (Source to Sor Brook)","","medium/low"
"250","GB106039042650","Cherwell (Source to Trafford Bridge)","","medium/low"
"251","GB106039029780","Bayswater Brook","Bayswater Brook","medium/low"
"252","GB106039037320","Sor Brook (Source to Broughton)","","medium/low"
"253","GB106039037190","Deddington Brook (Source to Cherwell)","","medium/low"
"254","GB106039037200","Upper Swere (Source to Wigginton)","","medium/low"
"255","GB106039037310","Cherwell (Cropredy to Nell Bridge)","","medium/low"
"256","GB106039037260","Sor Brook  (Broughton to Cherwell)","","medium/low"
"257","GB106039037360","Ashby Brook (Source to Cherwell)","","medium/low"
"258","GB106039037370","Clayton and Wormleighton Brook, Source to Highfurlong Brook","","medium/low"
"259","GB106039029800","Cherwell (Ray to Thames) and Woodeaton Brook","","medium/low"
"260","GB106039037270","Tadmarton Stream (Source to Sor Brook)","","medium/low"
"261","GB106039037220","Swere (Wigginton to Cherwell)","","medium/low"
"262","GB106039042660","Highfurlong Brook (to Cherwell)","","medium/low"
"263","GB106039037350","Cherwell (Ashby Brook to Cropredy)","","medium/low"
"264","GB106039037210","Hook Norton Brook (Source to Swere)","","medium/low"
"265","GB30639472","Grimsbury Reservoir","Grimsbury Reservoir","medium/low"
"266","GB106039037280","Chacombe Brook (Source to Cherwell)","","medium/low"
"267","GB106039037230","Ockley Brook and Croughton Brook (Source to Cherwell)","","medium/low"
"268","GB106039037431","Cherwell (Nell Bridge to Bletchingdon)","","medium/low"
"269","GB106039037300","Shutford Stream (Source to Sor Brook)","","medium/low"
"270","GB106039037432","Cherwell (Bletchingdon to Ray)","","medium/low"
"271","GB106039030070","Tetchwick Brook, Source to Ray and tribs","","medium/low"
"272","GB106039030110","Gubbinshole and Broadmoor ditch to Ray (Oxon)","","medium/low"
"273","GB106039030150","Town Brook at Bicester","Town Brook","medium/low"
"274","GB106039030100","Ray and tributaries NorthEast of Grendon Underwood","Ray Brook","medium/low"
"275","GB106039030090","Oxon Ray (upstream A41 to Cherwell) including Otmoor","","medium/low"
"276","GB106039030120","Summerstown Ditch and Launton and Cutters Brook","Summerstown Ditch OR Launton Brook OR Cutters Brook","medium/low"
"277","GB106039030130","Gallos Brook","Gallos Brook","medium/low"
"278","GB106039030140","Langford Brook (Bicester to Ray inc Gagle Brook)","","medium/low"
"279","GB106039030160","Langford Brook (source to downstream A41)","","medium/low"
"280","GB106039030080","Bletchingdon Stream","Bletchingdon Stream","medium/low"
"281","GB106039030060","Ludgershall Brook and Muswellhill Brook","Ludgershall Brook OR Muswellhill Brook","medium/low"
"282","GB106039030180","Northfield Brook (Source to Thames) at Sandford","","medium/low"
"283","GB106039023630","Moor Ditch and Ladygrove Ditch","Moor Ditch OR Ladygrove Ditch","medium/low"
"284","GB106039023350","Letcombe Brook","Letcombe Brook","medium/low"
"285","GB106039030334","Thames (Evenlode to Thame)","","medium/low"
"286","GB106039023340","Stutfield Brook (source to Ock)","","medium/low"
"287","GB106039023410","Sandford Brook (source to Ock)","","medium/low"
"288","GB106039023420","Frilford and Marcham Brook","Frilford OR Marcham Brook","medium/low"
"289","GB106039023660","Ginge Brook and Mill Brook","Ginge Brook OR Mill Brook","medium/low"
"290","GB106039023360","Cow Common Brook and Portobello Ditch","Cow Common Brook OR Portobello Ditch","medium/low"
"291","GB106039023380","Childrey Brook and Norbrook at Common Barn","Childrey Brook OR Norbrook","medium/low"
"292","GB106039023430","Ock and tributaries (Land Brook confluence to Thames)","","medium/low"
"293","GB106039023370","Childrey and Woodhill Brooks","Childrey Brook OR Woodhill Brook","medium/low"
"294","GB106039023400","Ock (to Cherbury Brook)","","medium/low"
"295","GB106039022860","Liden Brook, Swindon","","medium/low"
"296","GB106039023110","Dudgrove Brook","Dudgrove Brook","medium/low"
"297","GB106039030300","Ampney and Poulton Brooks (Source to Thames)","","medium/low"
"298","GB106039023730","Cole (Bower Bridge to Thames) including Coleshill","","medium/low"
"299","GB106039023330","Ray (Wiltshire) (Lydiard Brook to Thames)","","medium/low"
"300","GB106039022950","Waterloo Ditch (East of Coleshill)","","medium/low"
"301","GB106039022960","Thames (Waterhaybridge to Cricklade) and Chelworth Brook","","medium/low"
"302","GB106039023650","Key (Source to Thames)","","medium/low"
"303","GB106039023800","Cerney Wick Brook (source to Thames)","","medium/low"
"304","GB106039029750","Churn  (Baunton to Cricklade)","","medium/low"
"305","GB106039023860","Marston Meysey Brook","Marston Meysey Brook","medium/low"
"306","GB30642155","Coate Water","Coate Water","medium/low"
"307","GB106039023320","Ray (Wiltshire) source to Lydiard Brook","","medium/low"
"308","GB106039029810","Churn (source to Perrots Brook)","","medium/low"
"309","GB106039029992","Coln (from Coln Rogers) and Thames (Coln to Leach)","","medium/low"
"310","GB106039029760","Thornhill Ditch and tributaries at Cotswolds Water Park","Thornhill Ditch","medium/low"
"311","GB106039022920","Tuckmill Brook and tributaries","Tuckmill Brook","medium/low"
"312","GB106039022870","Lenta Brook, East of Swindon","","medium/low"
"313","GB106039023680","Share ditch","Share ditch","medium/low"
"314","GB106039023700","Swill Brook (source to Ashton Keynes)","","medium/low"
"315","GB106039029790","Elkstone Brook","","medium/low"
"316","GB106039029991","Coln (Source to Coln Rogers)","","medium/low"
"317","GB106039023810","Kemble Ditch at Kemble","Kemble Ditch","medium/low"
"318","GB30641559","Cotswold Water Park Lake 12","","medium/low"
"319","GB106039022890","Cole (source to Lenta Brook)","","medium/low"
"320","GB106039023620","Derry Brook","Derry Brook","medium/low"
"321","GB106039029770","Daglingworth Stream (Source to Churn)","","medium/low"
"322","GB106039023710","Bydemill Brook (Source to Thames)","","medium/low"
"323","GB106039022930","Cole (Acorn Bridge to Bower Bridge)","","medium/low"
"324","GB106039023331","Haydon Wick Brook","Haydon Wick Brook","medium/low"
"325","GB106039023760","Thames (Kemble to Waterhay Bridge)","","medium/low"
"326","GB106039022990","Thames (Churn to Coln)","","medium/low"
"327","GB106039022910","South Marston Brook","South Marston Brook","medium/low"
"328","GB106039023310","Lydiard Brook","Lydiard Brook","medium/low"
"329","GB106039023711","Westrop Brook","Westrop Brook","medium/low"
"330","GB106039023090","Colne (Confluence with Chess to River Thames)","","medium/low"
"331","GB30642525","Staines Reservoir South","Staines Reservoir","medium/low"
"332","GB106039029920","Ver","Ver","medium/low"
"333","GB106039023070","Pinn","Pinn","medium/low"
"334","GB106039029830","Misbourne","Misbourne","medium/low"
"335","GB106039023480","Surrey Ash","Surry Ash","medium/low"
"336","GB106039029890","Bulbourne","Bulbourne","medium/low"
"337","GB106039029850","Colne (upper east arm including Mimshall Brook)","","medium/low"
"338","GB30642639","Queen Mary Reservoir","Queen Mary Reservoir","medium/low"
"339","GB106039029860","Gade (from confluence with Bulbourne to Chess)","","medium/low"
"340","GB30642490","Staines Reservoir North","Staines Reservoir","medium/low"
"341","GB30642488","King George VI Reservoir","King George VI Reservoir","medium/low"
"342","GB106039029820","Upper Colne and Ellen Brook","Colne Brook OR Ellen Brook","medium/low"
"343","GB106039023100","Tykeswater","Tykeswater","medium/low"
"344","GB106039023040","Horton Brook","Horton Brook","medium/low"
"345","GB30641907","Broadwater Lake","Broadwater Lake","medium/low"
"346","GB106039029840","Colne (from Confluence with Ver to Gade)","","medium/low"
"347","GB106039023080","Alderbourne","Alderbourne","medium/low"
"348","GB30642538","Heron Lake","Heron Lake","medium/low"
"349","GB106039023010","Colne Brook","Colne Brook","medium/low"
"350","GB30642569","Queensmead","Queensmead","medium/low"
"351","GB106039029900","Gade (Upper stretch Great Gaddesden to confluence with Bulbourne / GUC)","","medium/low"
"352","GB106039029870","Chess","Chess","medium/low"
"353","GB30642417","Wraysbury Reservoir","Wraysbury Reservoir","medium/low"
"354","GB30642334","The Queen Mother Reservoir","The Queen Mother Reservoir","medium/low"
"355","GB30642489","Wraysbury No 2","","medium/low"
"356","GB106039017622","Mole (Hersham to R. Thames conf at East Molesey)","","medium/low"
"357","GB106039017650","Rythe","Rythe","medium/low"
"358","GB106039017530","Deanoak Brook","Deanoak Brook","medium/low"
"359","GB106039017621","Mole (Horley to Hersham)","","medium/low"
"360","GB30643054","Black Pond","","medium/low"
"361","GB106039017550","Leigh Brook","Leigh Brook","medium/low"
"362","GB106039017580","Pipp Brook","Pipp Brook","medium/low"
"363","GB30642813","Queen Elizabeth 2 Storage Reservoir","","medium/low"
"364","GB106039017600","Downside Ditches and Bookham Brook","Downside Ditches OR Bookham Brook","medium/low"
"365","GB30642841","Island Barn Reservoir","Island Barn Reservoir","medium/low"
"366","GB106039017570","Tanners Brook (Holmewood to River Mole confluence at Brockham)","","medium/low"
"367","GB106039017610","The Rye at Ashtead","","medium/low"
"368","GB106039017500","Tilgate Brook and Gatwick Stream at Crawley","Tilgate Brook OR Gatwick Stream","medium/low"
"369","GB106039017520","Burstow Stream","Burstow Stream","medium/low"
"370","GB106039017460","Ifield Brook","Ifield Brook","medium/low"
"371","GB106039017540","Salfords Stream (Salfords to River Mole confluence)","","medium/low"
"372","GB106039017450","Stanford Brook","Stanford Brook","medium/low"
"373","GB106039017470","Baldhorns Brook","Baldhorns Brook","medium/low"
"374","GB30644358","Douster Pond","Douster Pond","medium/low"
"375","GB106039017590","Redhill Brook","Redhill Brook","medium/low"
"376","GB106039017481","Mole upstream of Horley","","medium/low"
"377","GB106039017560","Salfords Stream (Redhill Brook confluence upstream)","","medium/low"
"378","GB530603911402","THAMES MIDDLE","Thames","medium/low"
"379","GB530603911401","THAMES LOWER","Thames","medium/low"
"380","GB560604017700","Cliffe Fort Lagoon","","medium/low"
"381","GB530603911403","THAMES UPPER","Thames","medium/low"
"382","GB560604017900","West Thurrock Lagoon","","medium/low"
"383","GB640603690000","Thames Coastal North","Thames","medium/low"
"384","GB560604017600","Higham Marshes","","medium/low"
"385","GB560504016800","Allhallows Marshes","","medium/low"
"386","GB530604002300","MEDWAY","Medway","medium/low"
"387","GB560604017400","Murston Lakes","","medium/low"
"388","GB530604011500","SWALE","Swale","medium/low"
"389","GB106039017360","Inkpen Stream (source to Kennet)","","medium/low"
"390","GB106039017300","West End Brook (tributary of Foudry Brook)","","medium/low"
"391","GB106039017380","Foudry Brook (West End Brook to M4)","","medium/low"
"392","GB106039023120","Clayhill Brook","Clayhill Brook","medium/low"
