"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106038033210","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"2","GB106038033210","Other","Probable","Not applicable","Other (not in list, must add details in comments)","Probable"
"3","GB106038033210","Other","Probable","Not applicable","Private Sewage Treatment","Probable"
"4","GB106038033210","Agriculture and rural land management","Probable","Horticulture","Poor nutrient management","Probable"
"5","GB106038033210","Agriculture and rural land management","Confirmed","Horticulture","Poor nutrient management","Confirmed"
"6","GB106038033210","Urban and transport","Confirmed","Roads","Transport Drainage","Confirmed"
"7","GB106038033210","Urban and transport","Confirmed","Urban","Urbanisation - urban development","Confirmed"
"8","GB106038033210","Domestic General Public","Confirmed","Not applicable","Misconnections","Confirmed"
"9","GB106038033210","Urban and transport","Confirmed","Roads","Transport Drainage","Confirmed"
"10","GB106038033210","Other","Suspected","Not applicable","Private Sewage Treatment","Suspected"
"11","GB106038033210","Agriculture and rural land management","Probable","Horticulture","Poor nutrient management","Probable"
