"","X","text","n"
"1",1,"the latest the loddon eye",2246
"2",2,"the loddon eye",1529
"3",3,"the loddon river",496
"4",4,"the river loddon",433
"5",5,"loddon valley leisure centre",367
"6",6,"private sale 5 loddon court",300
"7",7,"crash tested car crates",296
"8",8,"the river thames confluence",271
"9",9,"flood alert lower river loddon",254
"10",10,"lower river loddon",199
"11",11,"the loddon swan",160
"12",12,"latest business liquidations",149
"13",13,"moderate flood warning",146
"14",14,"the loddon mallee",139
"15",15,"loddon athena members",136
"16",16,"this wed",135
"17",17,"the loddon mallee region",131
"18",18,"loddon mill arts",129
"19",19,"the loddon bridge park",125
"20",20,"the loddon brewery",111
"21",21,"loddon bridge road",105
"22",22,"flood alert upper river loddon",101
"23",23,"5s contract 4 deals",89
"24",24,"the loddon valley",89
"25",25,"major flood warning",87
