"","sentiment","n","percent"
"1","anger",67,9.07
"2","anticipation",156,21.11
"3","disgust",36,4.87
"4","fear",99,13.4
"5","joy",109,14.75
"6","sadness",57,7.71
"7","surprise",35,4.74
"8","trust",180,24.36
