"","X","text","n"
"1",1,"flood alert ginge brook",256
"2",2,"corner brook mill",225
"3",3,"bobbin brook bobbin trace",170
"4",4,"bobbin mill woods",162
"5",5,"stony brook grist mill",146
"6",6,"another raw pic",139
"7",7,"mill river parkway",131
"8",8,"saw mill river parkway nb",129
"9",9,"bobbin trace bobbin mill woods",128
"10",10,"the dangerous millbrook projects",126
"11",11,"saw mill river parkway sb",118
"12",12,"135th137th st brook",105
"13",13,"the twin blockbusters",105
"14",14,"the third avenue bridge",103
"15",15,"nicki minaj and safaree samuels",102
"16",16,"ave st anns",100
"17",17,"bobbin mill woods bobbin brook",100
"18",18,"e 135th137th st brook",100
"19",19,"the 5 boro twins",100
"20",20,"the bronx cypress",98
"21",21,"135th137th st st anns",97
"22",22,"nyc twin chands chillen",97
"23",23,"saw mill river pkwy",97
"24",24,"the 5 boro",97
"25",25,"the wild crazy millbrook projects",97
