"","created_at","mean_senti"
"1",2009-10-16,0
"2",2010-01-07,0
"3",2010-02-10,0
"4",2010-02-22,0.25
"5",2010-04-21,0
"6",2011-09-13,0.5
"7",2012-05-10,0.8
"8",2012-06-02,0.25
"9",2012-12-13,0.5
"10",2013-06-21,0
"11",2014-01-08,0.125
"12",2014-03-22,0
"13",2014-03-23,0
"14",2014-05-10,1.05
"15",2014-08-02,0
"16",2014-08-09,0.55
"17",2014-08-25,0.6
"18",2015-11-19,0
"19",2016-02-19,-1.45
"20",2016-04-04,0.8
"21",2016-04-11,-0.8
"22",2016-04-25,0
"23",2016-08-26,1
"24",2017-02-05,0
"25",2017-04-17,0.6
"26",2017-06-15,0
"27",2017-06-16,0.4
"28",2017-06-19,0.75
"29",2017-08-09,-0.25
"30",2017-09-08,-0.4
"31",2017-10-05,1.35
"32",2017-10-11,0
"33",2017-10-14,0
"34",2017-10-30,0
"35",2017-11-06,0.8
"36",2017-12-11,0.25
"37",2017-12-19,0
"38",2017-12-20,0.75
"39",2018-01-09,0
"40",2018-02-14,2.45
"41",2018-03-19,0.35
"42",2018-03-23,3.4
"43",2018-03-26,3.4
"44",2018-04-13,0
"45",2018-04-26,-2
"46",2018-05-02,1.05
"47",2018-05-24,0
"48",2018-06-25,2.75
"49",2018-08-04,-0.75
"50",2018-08-10,-0.2
"51",2018-08-20,0.65
"52",2018-08-29,0
"53",2018-09-04,0
"54",2018-09-08,0.5
"55",2018-09-09,0.5
"56",2018-09-15,1.35
"57",2018-10-05,0.75
"58",2018-10-22,2.2
"59",2018-11-17,0.25
"60",2018-12-15,0.25
"61",2018-12-27,0.25
"62",2019-01-09,0.25
"63",2019-01-13,1.1
"64",2019-01-14,0.6
"65",2019-01-20,0.25
"66",2019-01-24,1
"67",2019-01-28,0.55
"68",2019-01-30,0.25
"69",2019-02-12,0.25
"70",2019-02-22,0.8
"71",2019-02-24,0.25
"72",2019-03-04,0.25
"73",2019-03-21,0.25
"74",2019-04-01,0.25
"75",2019-04-16,1.4
"76",2019-04-25,0.925
"77",2019-05-08,0.25
"78",2019-05-31,1.8
"79",2019-06-15,0.5
"80",2019-07-05,0.75
"81",2019-07-24,2.15
"82",2019-07-30,0.25
"83",2019-08-06,-0.3
"84",2019-09-03,1.6
"85",2019-09-11,0.75
"86",2019-09-13,0.75
"87",2019-09-30,0.75
"88",2019-11-07,-3.35
"89",2019-11-08,-3.65
"90",2020-01-12,0.25
"91",2020-01-24,4.35
"92",2020-01-27,0
"93",2020-02-03,0.15
"94",2020-05-14,1.75
"95",2020-05-20,-1.9
"96",2020-06-22,0.75
"97",2020-07-07,0.1
"98",2020-07-09,0.9
"99",2020-07-23,1.6
"100",2020-08-04,0.5
"101",2020-09-01,-2.4
"102",2020-09-29,-2.05
"103",2020-10-09,0.85
"104",2020-10-13,1.45
"105",2020-10-31,2.25
"106",2020-11-08,2.6
"107",2021-01-14,0
"108",2021-02-25,0
"109",2021-04-02,0
"110",2021-05-13,-0.3
"111",2021-05-23,0
"112",2021-05-28,2.3
"113",2021-06-03,0.6
"114",2021-06-13,0.75
"115",2021-08-04,2.3
"116",2021-08-22,0.75
