"","sentiment","n","percent"
"1","anger",72,5.64
"2","anticipation",209,16.38
"3","disgust",49,3.84
"4","fear",170,13.32
"5","joy",226,17.71
"6","sadness",83,6.5
"7","surprise",89,6.97
"8","trust",378,29.62
