"source","target","value"
"Agriculture and rural land management","Poor nutrient management",1
"Agriculture and rural land management","Poor soil management",1
"Domestic General Public","Sewage discharge (intermittent)",1
"Local and Central Government","Other (not in list, must add details in comments)",1
"Sector under investigation","Unknown (pending investigation)",1
"Water Industry","Sewage discharge (continuous)",1
