"","sentiment","n","percent"
"1","anger",4,3.57
"2","anticipation",33,29.46
"3","disgust",2,1.79
"4","fear",23,20.54
"5","joy",10,8.93
"6","sadness",8,7.14
"7","surprise",9,8.04
"8","trust",23,20.54
