"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039023530","Urban and transport","Confirmed","Not applicable","Other (not in list, must add details in comments)","Confirmed"
"2","GB106039023530","Local and Central Government","Confirmed","Not applicable","Other (not in list, must add details in comments)","Confirmed"
"3","GB106039023530","Industry","Probable","Not applicable","Trade/Industry discharge","Probable"
"4","GB106039023530","Urban and transport","Probable","Not applicable","Urbanisation - urban development","Probable"
"5","GB106039023530","Urban and transport","Probable","Not applicable","Transport Drainage","Probable"
"6","GB106039023530","Urban and transport","Probable","Not applicable","Transport Drainage","Probable"
"7","GB106039023530","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
"8","GB106039023530","Urban and transport","Suspected","Urban","Other (not in list, must add details in comments)","Suspected"
"9","GB106039023530","Water Industry","Suspected","Waste water treatment","Sewage discharge (intermittent)","Suspected"
"10","GB106039023530","Urban and transport","Suspected","Urban","Transport Drainage","Suspected"
"11","GB106039023530","Agriculture and rural land management","Suspected","Agriculture - Livestock","Poor Livestock Management","Suspected"
