"source","target","value"
"Agriculture and rural land management","Land use - arable",1
"Agriculture and rural land management","Poor nutrient management",1
"Agriculture and rural land management","Riparian/in-river activities (inc bankside erosion)",1
"No sector responsible","North american signal crayfish",1
"Other","Barriers - ecological discontinuity",1
"Sector under investigation","Unknown (pending investigation)",1
