"","X","text","n"
"1",1,"just a piece",1434
"2",2,"row row row",837
"3",3,"my blood stream",419
"4",4,"a whole team",330
"5",5,"the seine river",254
"6",6,"row row row yo",198
"7",7,"the river seine",182
"8",8,"a river cruise",148
"9",9,"the live stream",137
"10",10,"roll roll roll",121
"11",11,"a live stream",115
"12",12,"normandy river cruise",113
"13",13,"a  video",107
"14",14,"the stream hoe",95
"15",15,"a new more relaxed way",71
"16",16,"house wife candaign",71
"17",17,"college dope man",70
"18",18,"just a peice",66
"19",19,"the hoe stream",66
"20",20,"the couesnon river",64
"21",21,"a $600couple air credit france",61
"22",22,"roll roll roll yo",61
"23",23,"flood alert hoe",58
"24",24,"an avalon river cruise",54
"25",25,"the dday beaches",52
