"source","target","value"
"Domestic General Public","Misconnections",5
"Local and Central Government","Other (not in list, must add details in comments)",1
"Sector under investigation","Unknown (pending investigation)",3
"Urban and transport","Barriers - ecological discontinuity",1
"Urban and transport","Flood protection - structures",2
"Urban and transport","Incidents",2
"Urban and transport","Other (not in list, must add details in comments)",1
"Urban and transport","Transport Drainage",2
"Urban and transport","Urbanisation - transport",2
"Urban and transport","Urbanisation - urban development",2
"Water Industry","Leaking utility sewers",2
"Water Industry","Sewage discharge (intermittent)",4
