"source","target","value"
"Domestic General Public","Private Sewage Treatment",1
"Industry","Barriers - ecological discontinuity",1
"Urban and transport","Barriers - ecological discontinuity",2
"Urban and transport","Other (not in list, must add details in comments)",1
"Water Industry","Sewage discharge (continuous)",2
